MATERIA,CLAVE,SECC,NRC,DIA,HORA,SALON,PROFESOR
DHPC,FGUS 002,109,26315,J,1500-1659,1CCO4/103,HURTADO - MADRID JOSE
DHPC,FGUS 002,114,26317,M,1500-1659,1EMA5/105,VAZQUEZ - RAMIREZ JESUS
DHPC,FGUS 002,114,26317,V,1500-1659,1EMA5/105,VAZQUEZ - RAMIREZ JESUS
DHPC,FGUS 002,108,26318,A,1700-1859,1CCO4/304,BAUTISTA - LOPEZ VERONICA EDITH
DHPC,FGUS 002,108,26318,J,1700-1859,1CCO4/303,BAUTISTA - LOPEZ VERONICA EDITH
Diseño de Base de Datos,ITIS 014,OO1,26320,A,0900-1059,1CCO4/202,RIOS - ACEVEDO CARLOS
Diseño de Base de Datos,ITIS 014,OO1,26320,J,0900-1059,1CCO2/207,RIOS - ACEVEDO CARLOS
Diseño de Base de Datos,ITIS 014,OO1,26320,L,1000-1059,1CCO4/202,RIOS - ACEVEDO CARLOS
Diseño de Base de Datos,ITIS 014,OO2,26323,L,1700-1759,1CCO4/201,LOPEZ - POBLANO GILBERTO
Diseño de Base de Datos,ITIS 014,OO2,26323,M,1700-1859,1CCO4/104,LOPEZ - POBLANO GILBERTO
Diseño de Base de Datos,ITIS 014,OO2,26323,V,1700-1859,1CCO4/201,LOPEZ - POBLANO GILBERTO
Diseño de la Interaccion,ITIS 259,OO1,26325,L,0700-0759,1CCO4/101,SANCHEZ - LOPEZ ABRAHAM
Diseño de la Interaccion,ITIS 259,OO1,26325,MV,0700-0859,1CCO4/101,SANCHEZ - LOPEZ ABRAHAM
Formacion Humana y Social,FGUS 001,102,26387,AJ,1500-1659,1CCO1/001,VAZQUEZ - RAMIREZ JESUS
Formacion Humana y Social,FGUS 001,103,26389,MV,1500-1659,1CCO1/002,HURTADO - MADRID JOSE
Formacion Humana y Social,FGUS 001,104,26390,MV,0700-0859,1CCO5/202,SILVA - SANCHEZ PATRICIA
Formacion Humana y Social,FGUS 001,105,26392,MV,1500-1659,1CCO5/201,ROSALES - LOPEZ KARINA
Fund.de la Programacion Lógica,ITIS 253,OO1,26393,AJ,1300-1459,1CCO4/103,ZEPEDA - CORTES CLAUDIA
Fund.de la Programacion Lógica,ITIS 253,OO2,26394,AJ,0700-0859,1CCO5/203,PALOMINO - JIMENEZ CARLOS
Herramientas Web,ITIS 011,OO1,26968,L,1100-1159,1CCO4/201,RIOS - ACEVEDO CARLOS
Herramientas Web,ITIS 011,OO1,26968,M,1100-1259,1CCO4/201,RIOS - ACEVEDO CARLOS
Herramientas Web,ITIS 011,OO1,26968,V,1100-1259,1CCO3/104,RIOS - ACEVEDO CARLOS
Herramientas Web,ITIS 011,OO2,26970,A,1500-1659,1CCO4/202,MEJIA - MATIAS HILDA
Herramientas Web,ITIS 011,OO2,26970,J,1500-1659,1CCO3/101,MEJIA - MATIAS HILDA
Herramientas Web,ITIS 011,OO2,26970,L,1600-1659,1CCO4/202,MEJIA - MATIAS HILDA
Ingenieria de Software I,ITIS 013,OO1,26989,L,0900-0959,1CCO4/103,SANCHEZ - LOPEZ ABRAHAM
Ingenieria de Software I,ITIS 013,OO1,26989,MV,0900-1059,1CCO4/103,SANCHEZ - LOPEZ ABRAHAM
Ingenieria de Software I,ITIS 013,OO2,26990,AJ,1700-1859,1CCO4/201,ARCHUNDIA - SIERRA ETELVINA
Ingenieria de Software I,ITIS 013,OO2,26990,L,1800-1859,1CCO4/201,ARCHUNDIA - SIERRA ETELVINA
Ingenieria de Software II,ISTI 200,OO1,26993,L,1500-1559,1CCO5/203,MARTINEZ - MIRON ERIKA ANNABEL
Ingenieria de Software II,ISTI 200,OO1,26993,MV,1500-1659,1CCO5/203,MARTINEZ - MIRON ERIKA ANNABEL
Ingenieria de Conocimiento,ITIS 603,OO1,27005,L,1500-1559,1CCO5/202,BERNABE - LORANCA
Ingenieria de Conocimiento,ITIS 603,OO1,27005,MV,1500-1659,1CCO5/202,BERNABE - LORANCA
Inteligencia de Negocios,ISTI 202,OO1,27054,A,1700-1859,1CCO4/309,TORRIJOS - MUNOZ MARIA TERESA
Inteligencia de Negocios,ISTI 202,OO1,27054,J,1700-1859,1CCO3/104,TORRIJOS - MUNOZ MARIA TERESA
Inteligencia de Negocios,ISTI 202,OO1,27054,L,1800-1859,1CCO4/309,TORRIJOS - MUNOZ MARIA TERESA
Introduccion a la Programacion,ITIS 002,OO1,27080,A,0700-0859,1CCO4/102,RIOS - ACEVEDO CARLOS
Introduccion a la Programacion,ITIS 002,OO1,27080,J,0700-0859,1CCO3/104,RIOS - ACEVEDO CARLOS
Introduccion a la Programacion,ITIS 002,OO1,27080,L,0800-0859,1CCO4/102,RIOS - ACEVEDO CARLOS
